CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,lat,lng,Predicted AQI
1,36,0,51,44.7444,44.2031,51.0
1,5,1,41,-5.29,-44.49,41.0
1,5,1,41,-11.2958,-41.9869,41.0
1,39,2,66,37.1667,15.1833,66.0
1,34,0,20,53.0167,20.8833,34.0
1,14,11,54,16.1005,-88.8074,54.0
1,14,11,54,26.8941,-82.0513,54.0
1,29,7,64,51.0761,4.2803,64.0
