CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,lat,lng
1,36,0,51,44.7444,44.2031
1,5,1,41,-5.29,-44.49
1,5,1,41,-11.2958,-41.9869
1,39,2,66,37.1667,15.1833
1,34,0,20,53.0167,20.8833
1,14,11,54,16.1005,-88.8074
1,14,11,54,26.8941,-82.0513
1,29,7,64,51.0761,4.2803
